,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
518,1xa5pXOwLoxHuBDU0JiUdn,0.0219,0.568,202439,0.69,2.3e-05,1,0.0815,-5.034,0,0.0431,130.12,4,0.0453,2017-05-05
519,61FxpGhozNDbcNixAeYMge,0.0972,0.558,254067,0.582,0.0,0,0.102,-9.862,1,0.036,120.046,4,0.353,2017-05-05
520,0W0kyk4HQ6J37rp6RhRsz5,0.0688,0.875,259672,0.685,0.629,6,0.366,-5.932,1,0.0967,122.002,4,0.466,2017-05-05
521,2Q4zHSJgtlc9mWoWQXpSJX,0.0779,0.931,156970,0.415,0.0,6,0.364,-6.159,1,0.395,130.033,4,0.699,2017-05-06
522,3tt3I9mPj6DmGN1UNkG9ri,0.405,0.667,183371,0.779,3.61e-06,0,0.0951,-5.385,1,0.0369,123.994,4,0.455,2017-05-07
523,2eMwDehkIC1j68U6FA3Eiq,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401,2017-05-08
524,5pD9x23lsoQr464mlmaKNJ,0.073,0.451,237915,0.809,0.0,0,0.201,-5.327,1,0.141,189.888,4,0.481,2017-05-10
525,5mCPDVBb16L4XQwDdbRUpz,0.304,0.804,298941,0.459,0.0862,11,0.11,-11.556,1,0.039,111.963,4,0.372,2017-05-10
526,2habSXqcJGExM6JJyskY7O,0.0577,0.565,231906,0.782,4.16e-05,8,0.0757,-6.413,1,0.0506,140.004,4,0.4,2017-05-11
527,5kRPPEWFJIMox5qIkQkiz5,0.746,0.427,224867,0.262,0.0,7,0.068,-8.541,1,0.0276,104.085,4,0.228,2017-05-12
528,3Dwq1oiOFys6Sxr5SslmXw,0.000569,0.624,189613,0.673,1.54e-06,4,0.104,-4.017,0,0.0268,121.986,4,0.458,2017-05-12
529,4u9Y4Z9i9VaAbBK7rW1Rha,0.747,0.537,227200,0.383,0.00025,2,0.356,-6.528,1,0.0247,104.252,4,0.339,2017-05-12
530,4B1rpPmQXwj78wk6aIGwwU,0.234,0.386,229813,0.407,1.86e-06,6,0.0999,-7.095,0,0.0268,69.387,4,0.456,2017-05-12
531,66O1SfDryBYk9i3RcV5AXq,0.794,0.406,176631,0.345,0.0,11,0.113,-9.631,1,0.0303,96.931,3,0.517,2017-05-12
532,33SNO8AaciGbNaQFkxvPrW,0.00064,0.375,176387,0.93,0.0,2,0.318,-2.631,1,0.0561,147.124,4,0.491,2017-05-12
533,5Lbsc65org0b85kNsPkluY,0.287,0.554,291080,0.842,0.0,5,0.106,-4.113,1,0.0397,114.036,4,0.348,2017-05-12
534,7BpYWzZwrsljT1eIjb0TqR,0.0029,0.639,188947,0.814,2.98e-05,2,0.0529,-5.632,0,0.0385,123.922,4,0.904,2017-05-12
535,5LABCxgmP7DATATIJXOh6n,0.2,0.389,253387,0.537,3.13e-06,10,0.125,-6.761,1,0.0309,127.964,5,0.383,2017-05-12
536,33bURv895AN4FkBvgFo2dx,0.0169,0.624,278800,0.647,0.0038,3,0.221,-4.68,0,0.0335,136.022,4,0.379,2017-05-12
537,4izg6Hydc6XGErWW6nbdsV,0.0476,0.673,201601,0.671,0.0,1,0.107,-4.998,1,0.0302,134.942,4,0.523,2017-05-12
538,2RJfK2pOvGpnxC255YOy5k,0.00199,0.768,212853,0.826,0.000374,5,0.031,-4.904,1,0.0335,114.997,4,0.926,2017-05-12
539,1IF5UcqRO42D12vYwceOY6,0.804,0.671,211960,0.156,0.0518,8,0.113,-16.288,1,0.0371,94.08,4,0.201,2017-05-12
540,6t44iU80A0h8WQ7vc4OoRj,0.076,0.734,235707,0.626,6.54e-06,7,0.168,-5.685,1,0.0458,98.559,4,0.44,2017-05-12
541,74ABBu8osxqmuFOAKcWWpG,0.0611,0.768,219760,0.804,0.00511,2,0.0695,-7.351,1,0.0349,112.028,4,0.776,2017-05-12
542,3FDrI0FLKzrYQiWxPhqV2W,0.45,0.754,272667,0.762,6.67e-05,6,0.224,-4.486,0,0.0849,92.002,4,0.673,2017-05-12
543,2EcQY09CYgJ1qk6H1qZf8h,0.852,0.561,221720,0.286,3.56e-05,2,0.116,-10.917,1,0.0266,90.004,4,0.409,2017-05-12
544,3c6gJgXzy4na0NWlIEUpKt,0.0455,0.47,214347,0.74,0.0,11,0.091,-6.093,1,0.07,84.841,4,0.562,2017-05-12
545,6arll1Y1aPC7FZqZsHnSsP,0.139,0.755,175761,0.913,0.0,4,0.564,-3.251,1,0.108,91.991,4,0.688,2017-05-13
546,05QeyKGAn4TZrv41tMiD1A,0.85,0.45,180319,0.318,0.0,11,0.101,-9.474,1,0.0324,93.344,4,0.492,2017-05-14
547,7JlIR1mle1FsPI6TQMaBPi,0.776,0.367,172121,0.28,6.15e-06,9,0.109,-11.71,1,0.0344,90.049,4,0.402,2017-05-14
548,1sCxVKWImDZSZKvG0U9B23,0.175,0.953,214648,0.41,0.0,1,0.0768,-6.543,1,0.0705,121.074,4,0.718,2017-05-18
549,2xt2piJx6jlFkjS77YiqpL,0.00797,0.614,293960,0.568,0.0,7,0.0997,-5.477,0,0.0276,107.849,4,0.516,2017-05-18
550,2mfUa8bLs2s5N4VaqJZ4lZ,0.0416,0.755,204400,0.57,0.0,9,0.0891,-7.132,1,0.0888,102.991,4,0.406,2017-05-18
551,4Q5yMlwAfAoitqg4r9oZHN,0.103,0.365,258188,0.413,3.13e-05,0,0.103,-7.369,0,0.0507,84.746,3,0.125,2017-05-18
552,39IsH7B5byx8NRlEKlZVg9,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733,2017-05-18
553,2EoOZnxNgtmZaD8uUmz2nD,0.000203,0.354,318587,0.825,6.95e-05,6,0.0758,-5.325,1,0.0406,105.495,4,0.16,2017-05-18
554,21tuvt3CXIsNquc32v8jpc,0.000336,0.433,277840,0.854,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,0.368,2017-05-18
555,5tz69p7tJuGPeMGwNTxYuV,0.57,0.62,250173,0.574,0.0,5,0.19,-7.788,0,0.0479,100.021,4,0.352,2017-05-18
556,6XOYVSmNDjKUNMXooU4s4z,0.0571,0.71,223190,0.73,0.0,5,0.139,-4.001,1,0.0607,99.986,4,0.48,2017-05-18
